system_id,g_protein_family,g_protein_family_label,interface,mean,ci_lo,ci_hi,n_replicas,replica_1,replica_2,replica_3,unit
Gi_7W0N,Gi,Gi/o,TM6-TM7,0.045,0.005,0.065,3,0.065,0.005,0.065,fraction
Gi_7W0N,Gi,Gi/o,TM7-TM1,0.348,0.305,0.43,3,0.31,0.43,0.305,fraction
Gi_7W6P,Gi,Gi/o,TM1-TM2,0.84,0.74,0.91,3,0.74,0.91,0.87,fraction
Gi_7W6P,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7W6P,Gi,Gi/o,TM3-TM4,0.263,0.195,0.33,3,0.195,0.265,0.33,fraction
Gi_7W6P,Gi,Gi/o,TM4-TM5,0.05,0.015,0.1,3,0.015,0.035,0.1,fraction
Gi_7W6P,Gi,Gi/o,TM5-TM6,0.245,0.15,0.405,3,0.15,0.405,0.18,fraction
Gi_7W6P,Gi,Gi/o,TM6-TM7,0.023,0.0,0.045,3,0.045,0.0,0.025,fraction
Gi_7W6P,Gi,Gi/o,TM7-TM1,0.822,0.76,0.94,3,0.76,0.765,0.94,fraction
Gi_7WQ3,Gi,Gi/o,TM1-TM2,0.012,0.005,0.015,3,0.015,0.015,0.005,fraction
Gi_7WQ3,Gi,Gi/o,TM2-TM3,0.002,0.0,0.005,3,0.0,0.0,0.005,fraction
Gi_7WQ3,Gi,Gi/o,TM3-TM4,0.492,0.415,0.53,3,0.53,0.53,0.415,fraction
Gi_7WQ3,Gi,Gi/o,TM4-TM5,0.1,0.08,0.115,3,0.08,0.105,0.115,fraction
Gi_7WQ3,Gi,Gi/o,TM5-TM6,0.042,0.015,0.075,3,0.075,0.015,0.035,fraction
Gi_7WQ3,Gi,Gi/o,TM6-TM7,0.248,0.02,0.68,3,0.68,0.045,0.02,fraction
Gi_7WQ3,Gi,Gi/o,TM7-TM1,0.663,0.49,0.78,3,0.78,0.49,0.72,fraction
Gi_7WU9,Gi,Gi/o,TM1-TM2,0.283,0.04,0.565,3,0.04,0.245,0.565,fraction
Gi_7WU9,Gi,Gi/o,TM2-TM3,0.005,0.0,0.01,3,0.01,0.0,0.005,fraction
Gi_7WU9,Gi,Gi/o,TM3-TM4,0.793,0.705,0.875,3,0.875,0.705,0.8,fraction
Gi_7WU9,Gi,Gi/o,TM4-TM5,0.482,0.41,0.565,3,0.565,0.41,0.47,fraction
Gi_7WU9,Gi,Gi/o,TM5-TM6,0.07,0.035,0.09,3,0.085,0.09,0.035,fraction
Gi_7WU9,Gi,Gi/o,TM6-TM7,0.258,0.225,0.3,3,0.3,0.225,0.25,fraction
Gi_7WU9,Gi,Gi/o,TM7-TM1,0.57,0.31,0.92,3,0.48,0.31,0.92,fraction
Gi_7WV9,Gi,Gi/o,TM1-TM2,0.243,0.12,0.47,3,0.12,0.47,0.14,fraction
Gi_7WV9,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7WV9,Gi,Gi/o,TM3-TM4,0.685,0.29,0.885,3,0.88,0.29,0.885,fraction
Gi_7WV9,Gi,Gi/o,TM4-TM5,0.682,0.215,0.93,3,0.9,0.215,0.93,fraction
Gi_7WV9,Gi,Gi/o,TM5-TM6,0.412,0.375,0.46,3,0.375,0.46,0.4,fraction
Gi_7WV9,Gi,Gi/o,TM6-TM7,0.022,0.0,0.045,3,0.045,0.0,0.02,fraction
Gi_7WV9,Gi,Gi/o,TM7-TM1,0.338,0.18,0.635,3,0.2,0.635,0.18,fraction
Gi_7WVU,Gi,Gi/o,TM1-TM2,0.105,0.005,0.205,3,0.005,0.105,0.205,fraction
Gi_7WVU,Gi,Gi/o,TM2-TM3,0.013,0.0,0.035,3,0.005,0.035,0.0,fraction
Gi_7WVU,Gi,Gi/o,TM3-TM4,0.457,0.365,0.51,3,0.365,0.51,0.495,fraction
Gi_7WVU,Gi,Gi/o,TM4-TM5,0.127,0.095,0.185,3,0.095,0.1,0.185,fraction
Gi_7WVU,Gi,Gi/o,TM5-TM6,0.332,0.21,0.51,3,0.21,0.275,0.51,fraction
Gi_7WVU,Gi,Gi/o,TM6-TM7,0.162,0.045,0.26,3,0.045,0.18,0.26,fraction
Gi_7WVU,Gi,Gi/o,TM7-TM1,0.657,0.51,0.805,3,0.51,0.655,0.805,fraction
Gi_7WVX,Gi,Gi/o,TM1-TM2,0.002,0.0,0.005,3,0.0,0.0,0.005,fraction
Gi_7WVX,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7WVX,Gi,Gi/o,TM3-TM4,0.535,0.39,0.67,3,0.67,0.39,0.545,fraction
Gi_7WVX,Gi,Gi/o,TM4-TM5,0.39,0.285,0.5,3,0.5,0.285,0.385,fraction
Gi_7WVX,Gi,Gi/o,TM5-TM6,0.328,0.055,0.65,3,0.65,0.28,0.055,fraction
Gi_7WVX,Gi,Gi/o,TM6-TM7,0.127,0.055,0.235,3,0.09,0.235,0.055,fraction
Gi_7WVX,Gi,Gi/o,TM7-TM1,0.343,0.215,0.425,3,0.215,0.39,0.425,fraction
Gi_7X5H,Gi,Gi/o,TM1-TM2,0.36,0.16,0.555,3,0.365,0.555,0.16,fraction
Gi_7X5H,Gi,Gi/o,TM2-TM3,0.003,0.0,0.005,3,0.0,0.005,0.005,fraction
Gi_7X5H,Gi,Gi/o,TM3-TM4,0.325,0.28,0.365,3,0.28,0.33,0.365,fraction
Gi_7X5H,Gi,Gi/o,TM4-TM5,0.058,0.03,0.095,3,0.05,0.03,0.095,fraction
Gi_7X5H,Gi,Gi/o,TM5-TM6,0.193,0.135,0.235,3,0.21,0.135,0.235,fraction
Gi_7X5H,Gi,Gi/o,TM6-TM7,0.007,0.0,0.01,3,0.01,0.0,0.01,fraction
Gi_7X5H,Gi,Gi/o,TM7-TM1,0.418,0.28,0.55,3,0.425,0.55,0.28,fraction
Gi_7X9A,Gi,Gi/o,TM1-TM2,0.173,0.11,0.3,3,0.11,0.3,0.11,fraction
Gi_7X9A,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7X9A,Gi,Gi/o,TM3-TM4,0.658,0.56,0.765,3,0.765,0.56,0.65,fraction
Gi_7X9A,Gi,Gi/o,TM4-TM5,0.297,0.17,0.5,3,0.17,0.5,0.22,fraction
Gi_7X9A,Gi,Gi/o,TM5-TM6,0.337,0.01,0.575,3,0.01,0.425,0.575,fraction
Gi_7X9A,Gi,Gi/o,TM6-TM7,0.068,0.025,0.145,3,0.025,0.035,0.145,fraction
Gi_7X9A,Gi,Gi/o,TM7-TM1,0.852,0.815,0.885,3,0.855,0.815,0.885,fraction
Gi_7X9C,Gi,Gi/o,TM1-TM2,0.36,0.24,0.535,3,0.24,0.535,0.305,fraction
Gi_7X9C,Gi,Gi/o,TM2-TM3,0.017,0.01,0.025,3,0.025,0.015,0.01,fraction
Gi_7X9C,Gi,Gi/o,TM3-TM4,0.687,0.535,0.85,3,0.675,0.85,0.535,fraction
Gi_7X9C,Gi,Gi/o,TM4-TM5,0.208,0.12,0.28,3,0.28,0.225,0.12,fraction
Gi_7X9C,Gi,Gi/o,TM5-TM6,0.167,0.05,0.29,3,0.29,0.16,0.05,fraction
Gi_7X9C,Gi,Gi/o,TM6-TM7,0.023,0.015,0.03,3,0.025,0.03,0.015,fraction
Gi_7X9C,Gi,Gi/o,TM7-TM1,0.672,0.61,0.715,3,0.715,0.61,0.69,fraction
Gi_7X9Y,Gi,Gi/o,TM1-TM2,0.223,0.185,0.27,3,0.185,0.27,0.215,fraction
Gi_7X9Y,Gi,Gi/o,TM2-TM3,0.232,0.0,0.45,3,0.0,0.245,0.45,fraction
Gi_7X9Y,Gi,Gi/o,TM3-TM4,0.625,0.545,0.68,3,0.545,0.68,0.65,fraction
Gi_7X9Y,Gi,Gi/o,TM4-TM5,0.293,0.125,0.415,3,0.125,0.415,0.34,fraction
Gi_7X9Y,Gi,Gi/o,TM5-TM6,0.167,0.11,0.215,3,0.175,0.11,0.215,fraction
Gi_7X9Y,Gi,Gi/o,TM6-TM7,0.597,0.26,0.8,3,0.26,0.8,0.73,fraction
Gi_7X9Y,Gi,Gi/o,TM7-TM1,0.837,0.815,0.86,3,0.815,0.86,0.835,fraction
Gi_7XA3,Gi,Gi/o,TM1-TM2,0.002,0.0,0.005,3,0.0,0.005,0.0,fraction
Gi_7XA3,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7XA3,Gi,Gi/o,TM3-TM4,0.642,0.555,0.71,3,0.66,0.71,0.555,fraction
Gi_7XA3,Gi,Gi/o,TM4-TM5,0.502,0.345,0.63,3,0.53,0.63,0.345,fraction
Gi_7XA3,Gi,Gi/o,TM5-TM6,0.075,0.0,0.185,3,0.04,0.0,0.185,fraction
Gi_7XA3,Gi,Gi/o,TM6-TM7,0.097,0.05,0.145,3,0.145,0.05,0.095,fraction
Gi_7XA3,Gi,Gi/o,TM7-TM1,0.375,0.355,0.4,3,0.4,0.37,0.355,fraction
Gi_7XBX,Gi,Gi/o,TM1-TM2,0.373,0.06,0.625,3,0.06,0.435,0.625,fraction
Gi_7XBX,Gi,Gi/o,TM2-TM3,0.008,0.005,0.015,3,0.005,0.015,0.005,fraction
Gi_7XBX,Gi,Gi/o,TM3-TM4,0.55,0.505,0.595,3,0.55,0.505,0.595,fraction
Gi_7XBX,Gi,Gi/o,TM4-TM5,0.208,0.2,0.215,3,0.21,0.215,0.2,fraction
Gi_7XBX,Gi,Gi/o,TM5-TM6,0.617,0.47,0.87,3,0.47,0.87,0.51,fraction
Gi_7XBX,Gi,Gi/o,TM6-TM7,0.1,0.01,0.205,3,0.085,0.01,0.205,fraction
Gi_7XBX,Gi,Gi/o,TM7-TM1,0.18,0.115,0.25,3,0.175,0.115,0.25,fraction
Gi_7XK2,Gi,Gi/o,TM1-TM2,0.14,0.075,0.265,3,0.08,0.265,0.075,fraction
Gi_7XK2,Gi,Gi/o,TM2-TM3,0.01,0.0,0.03,3,0.03,0.0,0.0,fraction
Gi_7XK2,Gi,Gi/o,TM3-TM4,0.468,0.425,0.555,3,0.425,0.555,0.425,fraction
Gi_7XK2,Gi,Gi/o,TM4-TM5,0.245,0.165,0.315,3,0.255,0.315,0.165,fraction
Gi_7XK2,Gi,Gi/o,TM5-TM6,0.252,0.12,0.365,3,0.365,0.12,0.27,fraction
Gi_7XK2,Gi,Gi/o,TM6-TM7,0.032,0.015,0.045,3,0.045,0.015,0.035,fraction
Gi_7XK2,Gi,Gi/o,TM7-TM1,0.347,0.215,0.525,3,0.3,0.215,0.525,fraction
Gi_7XK8,Gi,Gi/o,TM1-TM2,0.553,0.545,0.565,3,0.55,0.565,0.545,fraction
Gi_7XK8,Gi,Gi/o,TM2-TM3,0.09,0.0,0.195,3,0.195,0.0,0.075,fraction
Gi_7XK8,Gi,Gi/o,TM3-TM4,0.437,0.325,0.63,3,0.63,0.355,0.325,fraction
Gi_7XK8,Gi,Gi/o,TM4-TM5,0.205,0.09,0.33,3,0.33,0.195,0.09,fraction
Gi_7XK8,Gi,Gi/o,TM5-TM6,0.198,0.065,0.29,3,0.065,0.29,0.24,fraction
Gi_7XK8,Gi,Gi/o,TM6-TM7,0.022,0.02,0.025,3,0.02,0.025,0.02,fraction
Gi_7XK8,Gi,Gi/o,TM7-TM1,0.537,0.52,0.545,3,0.545,0.545,0.52,fraction
Gi_7XMS,Gi,Gi/o,TM1-TM2,0.397,0.145,0.65,3,0.145,0.395,0.65,fraction
Gi_7XMS,Gi,Gi/o,TM2-TM3,0.008,0.0,0.025,3,0.025,0.0,0.0,fraction
Gi_7XMS,Gi,Gi/o,TM3-TM4,0.708,0.68,0.75,3,0.68,0.695,0.75,fraction
Gi_7XMS,Gi,Gi/o,TM4-TM5,0.062,0.06,0.065,3,0.06,0.065,0.06,fraction
Gi_7XMS,Gi,Gi/o,TM5-TM6,0.133,0.095,0.195,3,0.095,0.11,0.195,fraction
Gi_7XMS,Gi,Gi/o,TM6-TM7,0.035,0.0,0.095,3,0.095,0.0,0.01,fraction
Gi_7XMS,Gi,Gi/o,TM7-TM1,0.358,0.27,0.405,3,0.405,0.27,0.4,fraction
Gi_7XTA,Gi,Gi/o,TM1-TM2,0.218,0.085,0.335,3,0.235,0.335,0.085,fraction
Gi_7XTA,Gi,Gi/o,TM2-TM3,0.138,0.025,0.26,3,0.13,0.26,0.025,fraction
Gi_7XTA,Gi,Gi/o,TM3-TM4,0.935,0.9,1.0,3,0.905,1.0,0.9,fraction
Gi_7XTA,Gi,Gi/o,TM4-TM5,0.342,0.215,0.595,3,0.595,0.215,0.215,fraction
Gi_7XTA,Gi,Gi/o,TM5-TM6,0.432,0.155,0.78,3,0.78,0.36,0.155,fraction
Gi_7XTA,Gi,Gi/o,TM6-TM7,0.338,0.115,0.62,3,0.62,0.28,0.115,fraction
Gi_7XTA,Gi,Gi/o,TM7-TM1,0.847,0.685,0.975,3,0.88,0.975,0.685,fraction
Gi_7XXI,Gi,Gi/o,TM1-TM2,0.09,0.005,0.255,3,0.255,0.01,0.005,fraction
Gi_7XXI,Gi,Gi/o,TM2-TM3,0.003,0.0,0.005,3,0.0,0.005,0.005,fraction
Gi_7XXI,Gi,Gi/o,TM3-TM4,0.437,0.375,0.55,3,0.385,0.375,0.55,fraction
Gi_7XXI,Gi,Gi/o,TM4-TM5,0.313,0.23,0.42,3,0.23,0.29,0.42,fraction
Gi_7XXI,Gi,Gi/o,TM5-TM6,0.12,0.045,0.22,3,0.045,0.22,0.095,fraction
Gi_7XXI,Gi,Gi/o,TM6-TM7,0.217,0.07,0.34,3,0.07,0.34,0.24,fraction
Gi_7XXI,Gi,Gi/o,TM7-TM1,0.507,0.255,0.715,3,0.715,0.55,0.255,fraction
Gi_7Y12,Gi,Gi/o,TM1-TM2,0.028,0.02,0.035,3,0.02,0.03,0.035,fraction
Gi_7Y12,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7Y12,Gi,Gi/o,TM3-TM4,0.41,0.34,0.54,3,0.34,0.35,0.54,fraction
Gi_7Y12,Gi,Gi/o,TM4-TM5,0.595,0.53,0.65,3,0.53,0.605,0.65,fraction
Gi_7Y12,Gi,Gi/o,TM5-TM6,0.307,0.3,0.315,3,0.305,0.315,0.3,fraction
Gi_7Y12,Gi,Gi/o,TM6-TM7,0.087,0.01,0.2,3,0.2,0.01,0.05,fraction
Gi_7Y12,Gi,Gi/o,TM7-TM1,0.595,0.565,0.62,3,0.62,0.6,0.565,fraction
Gi_7Y89,Gi,Gi/o,TM1-TM2,0.045,0.0,0.115,3,0.0,0.115,0.02,fraction
Gi_7Y89,Gi,Gi/o,TM2-TM3,0.005,0.005,0.005,3,0.005,0.005,0.005,fraction
Gi_7Y89,Gi,Gi/o,TM3-TM4,0.977,0.94,0.995,3,0.94,0.995,0.995,fraction
Gi_7Y89,Gi,Gi/o,TM4-TM5,0.772,0.58,0.895,3,0.84,0.895,0.58,fraction
Gi_7Y89,Gi,Gi/o,TM5-TM6,0.443,0.11,0.77,3,0.77,0.11,0.45,fraction
Gi_7Y89,Gi,Gi/o,TM6-TM7,0.1,0.01,0.19,3,0.1,0.01,0.19,fraction
Gi_7Y89,Gi,Gi/o,TM7-TM1,0.428,0.31,0.505,3,0.31,0.505,0.47,fraction
Gi_7YK6,Gi,Gi/o,TM1-TM2,0.008,0.005,0.01,3,0.01,0.005,0.01,fraction
Gi_7YK6,Gi,Gi/o,TM2-TM3,0.003,0.0,0.005,3,0.005,0.0,0.005,fraction
Gi_7YK6,Gi,Gi/o,TM3-TM4,0.771,0.692,0.856,3,0.856,0.766,0.692,fraction
Gi_7YK6,Gi,Gi/o,TM4-TM5,0.274,0.234,0.303,3,0.303,0.284,0.234,fraction
Gi_7YK6,Gi,Gi/o,TM5-TM6,0.071,0.04,0.124,3,0.124,0.05,0.04,fraction
Gi_7YK6,Gi,Gi/o,TM6-TM7,0.03,0.005,0.07,3,0.07,0.005,0.015,fraction
Gi_7YK6,Gi,Gi/o,TM7-TM1,0.619,0.587,0.672,3,0.597,0.587,0.672,fraction
Gi_7YK7,Gi,Gi/o,TM1-TM2,0.075,0.0,0.215,3,0.215,0.0,0.01,fraction
Gi_7YK7,Gi,Gi/o,TM2-TM3,0.013,0.0,0.025,3,0.0,0.015,0.025,fraction
Gi_7YK7,Gi,Gi/o,TM3-TM4,0.637,0.53,0.745,3,0.53,0.745,0.635,fraction
Gi_7YK7,Gi,Gi/o,TM4-TM5,0.223,0.18,0.285,3,0.205,0.285,0.18,fraction
Gi_7YK7,Gi,Gi/o,TM5-TM6,0.018,0.0,0.055,3,0.0,0.055,0.0,fraction
Gi_7YK7,Gi,Gi/o,TM6-TM7,0.003,0.0,0.01,3,0.0,0.01,0.0,fraction
Gi_7YK7,Gi,Gi/o,TM7-TM1,0.72,0.63,0.835,3,0.63,0.695,0.835,fraction
Gi_7YKD,Gi,Gi/o,TM1-TM2,0.008,0.0,0.02,3,0.02,0.005,0.0,fraction
Gi_7YKD,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7YKD,Gi,Gi/o,TM3-TM4,0.707,0.63,0.78,3,0.63,0.78,0.71,fraction
Gi_7YKD,Gi,Gi/o,TM4-TM5,0.102,0.055,0.135,3,0.055,0.115,0.135,fraction
Gi_7YKD,Gi,Gi/o,TM5-TM6,0.177,0.07,0.28,3,0.28,0.18,0.07,fraction
Gi_7YKD,Gi,Gi/o,TM6-TM7,0.072,0.02,0.165,3,0.165,0.03,0.02,fraction
Gi_7YKD,Gi,Gi/o,TM7-TM1,0.353,0.315,0.375,3,0.375,0.315,0.37,fraction
Gi_7YON,Gi,Gi/o,TM1-TM2,0.057,0.025,0.085,3,0.025,0.06,0.085,fraction
Gi_7YON,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7YON,Gi,Gi/o,TM3-TM4,0.695,0.63,0.76,3,0.63,0.76,0.695,fraction
Gi_7YON,Gi,Gi/o,TM4-TM5,0.41,0.255,0.505,3,0.255,0.505,0.47,fraction
Gi_7YON,Gi,Gi/o,TM5-TM6,0.022,0.005,0.04,3,0.02,0.005,0.04,fraction
Gi_7YON,Gi,Gi/o,TM6-TM7,0.003,0.0,0.005,3,0.005,0.005,0.0,fraction
Gi_7YON,Gi,Gi/o,TM7-TM1,0.753,0.65,0.87,3,0.87,0.74,0.65,fraction
Gi_7YU8,Gi,Gi/o,TM1-TM2,0.357,0.055,0.52,3,0.495,0.055,0.52,fraction
Gi_7YU8,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7YU8,Gi,Gi/o,TM3-TM4,0.408,0.205,0.64,3,0.64,0.38,0.205,fraction
Gi_7YU8,Gi,Gi/o,TM4-TM5,0.538,0.3,0.745,3,0.745,0.57,0.3,fraction
Gi_7YU8,Gi,Gi/o,TM5-TM6,0.175,0.035,0.34,3,0.035,0.15,0.34,fraction
Gi_7YU8,Gi,Gi/o,TM6-TM7,0.218,0.055,0.49,3,0.49,0.055,0.11,fraction
Gi_7YU8,Gi,Gi/o,TM7-TM1,0.56,0.335,0.685,3,0.685,0.335,0.66,fraction
Gi_8DZQ,Gi,Gi/o,TM1-TM2,0.565,0.275,0.72,3,0.72,0.275,0.7,fraction
Gi_8DZQ,Gi,Gi/o,TM2-TM3,0.002,0.0,0.005,3,0.0,0.005,0.0,fraction
Gi_8DZQ,Gi,Gi/o,TM3-TM4,0.727,0.555,0.84,3,0.84,0.555,0.785,fraction
Gi_8DZQ,Gi,Gi/o,TM4-TM5,0.152,0.1,0.195,3,0.195,0.1,0.16,fraction
Gi_8DZQ,Gi,Gi/o,TM5-TM6,0.188,0.13,0.285,3,0.285,0.13,0.15,fraction
Gi_8DZQ,Gi,Gi/o,TM6-TM7,0.033,0.015,0.06,3,0.015,0.06,0.025,fraction
Gi_8DZQ,Gi,Gi/o,TM7-TM1,0.433,0.385,0.47,3,0.385,0.47,0.445,fraction
Gi_8EFO,Gi,Gi/o,TM1-TM2,0.382,0.305,0.435,3,0.405,0.435,0.305,fraction
Gi_8EFO,Gi,Gi/o,TM2-TM3,0.003,0.0,0.005,3,0.005,0.005,0.0,fraction
Gi_8EFO,Gi,Gi/o,TM3-TM4,0.887,0.87,0.92,3,0.87,0.92,0.87,fraction
Gi_8EFO,Gi,Gi/o,TM4-TM5,0.32,0.255,0.44,3,0.44,0.265,0.255,fraction
Gi_8EFO,Gi,Gi/o,TM5-TM6,0.238,0.145,0.35,3,0.22,0.145,0.35,fraction
Gi_8EFO,Gi,Gi/o,TM6-TM7,0.053,0.01,0.135,3,0.135,0.01,0.015,fraction
Gi_8EFO,Gi,Gi/o,TM7-TM1,0.485,0.35,0.605,3,0.605,0.35,0.5,fraction
Gi_8F7S,Gi,Gi/o,TM1-TM2,0.238,0.13,0.415,3,0.17,0.13,0.415,fraction
Gi_8F7S,Gi,Gi/o,TM2-TM3,0.003,0.0,0.01,3,0.0,0.01,0.0,fraction
Gi_8F7S,Gi,Gi/o,TM3-TM4,0.797,0.765,0.82,3,0.765,0.805,0.82,fraction
Gi_8F7S,Gi,Gi/o,TM4-TM5,0.412,0.33,0.455,3,0.33,0.455,0.45,fraction
Gi_8F7S,Gi,Gi/o,TM5-TM6,0.412,0.27,0.525,3,0.44,0.27,0.525,fraction
Gi_8F7S,Gi,Gi/o,TM6-TM7,0.162,0.02,0.265,3,0.2,0.265,0.02,fraction
Gi_8F7S,Gi,Gi/o,TM7-TM1,0.648,0.595,0.715,3,0.635,0.595,0.715,fraction
Gi_8HK2,Gi,Gi/o,TM1-TM2,0.012,0.0,0.03,3,0.005,0.03,0.0,fraction
Gi_8HK2,Gi,Gi/o,TM2-TM3,0.008,0.0,0.025,3,0.0,0.0,0.025,fraction
Gi_8HK2,Gi,Gi/o,TM3-TM4,0.723,0.395,0.91,3,0.91,0.865,0.395,fraction
Gi_8HK2,Gi,Gi/o,TM4-TM5,0.368,0.15,0.58,3,0.375,0.58,0.15,fraction
Gi_8HK2,Gi,Gi/o,TM5-TM6,0.082,0.05,0.115,3,0.115,0.05,0.08,fraction
Gi_8HK2,Gi,Gi/o,TM6-TM7,0.04,0.04,0.04,3,0.04,0.04,0.04,fraction
Gi_8HK2,Gi,Gi/o,TM7-TM1,0.592,0.485,0.74,3,0.74,0.485,0.55,fraction
Gi_8HK5,Gi,Gi/o,TM1-TM2,0.3,0.28,0.31,3,0.31,0.28,0.31,fraction
Gi_8HK5,Gi,Gi/o,TM2-TM3,0.108,0.025,0.265,3,0.035,0.265,0.025,fraction
Gi_8HK5,Gi,Gi/o,TM3-TM4,0.542,0.47,0.61,3,0.61,0.47,0.545,fraction
Gi_8HK5,Gi,Gi/o,TM4-TM5,0.353,0.28,0.455,3,0.455,0.28,0.325,fraction
Gi_8HK5,Gi,Gi/o,TM5-TM6,0.112,0.105,0.125,3,0.125,0.105,0.105,fraction
Gi_8HK5,Gi,Gi/o,TM6-TM7,0.57,0.32,0.75,3,0.32,0.64,0.75,fraction
Gi_8HK5,Gi,Gi/o,TM7-TM1,0.51,0.415,0.6,3,0.515,0.6,0.415,fraction
Gi_8HQM,Gi,Gi/o,TM1-TM2,0.067,0.0,0.195,3,0.195,0.005,0.0,fraction
Gi_8HQM,Gi,Gi/o,TM2-TM3,0.277,0.095,0.63,3,0.63,0.095,0.105,fraction
Gi_8HQM,Gi,Gi/o,TM3-TM4,0.675,0.48,0.92,3,0.48,0.92,0.625,fraction
Gi_8HQM,Gi,Gi/o,TM4-TM5,0.147,0.015,0.385,3,0.04,0.385,0.015,fraction
Gi_8HQM,Gi,Gi/o,TM5-TM6,0.438,0.215,0.585,3,0.515,0.215,0.585,fraction
Gi_8HQM,Gi,Gi/o,TM6-TM7,0.337,0.31,0.38,3,0.31,0.32,0.38,fraction
Gi_8HQM,Gi,Gi/o,TM7-TM1,0.523,0.26,0.945,3,0.945,0.26,0.365,fraction
Gi_8HS3,Gi,Gi/o,TM1-TM2,0.26,0.11,0.445,3,0.11,0.225,0.445,fraction
Gi_8HS3,Gi,Gi/o,TM2-TM3,0.04,0.0,0.11,3,0.0,0.11,0.01,fraction
Gi_8HS3,Gi,Gi/o,TM3-TM4,0.75,0.71,0.785,3,0.71,0.755,0.785,fraction
Gi_8HS3,Gi,Gi/o,TM4-TM5,0.312,0.285,0.355,3,0.355,0.285,0.295,fraction
Gi_8HS3,Gi,Gi/o,TM5-TM6,0.102,0.08,0.12,3,0.08,0.12,0.105,fraction
Gi_8HS3,Gi,Gi/o,TM6-TM7,0.068,0.055,0.08,3,0.08,0.07,0.055,fraction
Gi_8HS3,Gi,Gi/o,TM7-TM1,0.742,0.64,0.875,3,0.64,0.71,0.875,fraction
Gi_8IC0,Gi,Gi/o,TM1-TM2,0.125,0.105,0.15,3,0.15,0.105,0.12,fraction
Gi_8IC0,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_8IC0,Gi,Gi/o,TM3-TM4,0.35,0.31,0.395,3,0.345,0.395,0.31,fraction
Gi_8IC0,Gi,Gi/o,TM4-TM5,0.023,0.005,0.055,3,0.005,0.055,0.01,fraction
Gi_8IC0,Gi,Gi/o,TM5-TM6,0.492,0.15,0.9,3,0.425,0.9,0.15,fraction
Gi_8IC0,Gi,Gi/o,TM6-TM7,0.168,0.02,0.37,3,0.115,0.37,0.02,fraction
Gi_8IC0,Gi,Gi/o,TM7-TM1,0.538,0.365,0.63,3,0.62,0.365,0.63,fraction
Gi_8ID9,Gi,Gi/o,TM1-TM2,0.035,0.025,0.05,3,0.05,0.03,0.025,fraction
Gi_8ID9,Gi,Gi/o,TM2-TM3,0.007,0.0,0.01,3,0.01,0.0,0.01,fraction
Gi_8ID9,Gi,Gi/o,TM3-TM4,0.205,0.19,0.22,3,0.22,0.19,0.205,fraction
Gi_8ID9,Gi,Gi/o,TM4-TM5,0.063,0.05,0.085,3,0.05,0.055,0.085,fraction
Gi_8ID9,Gi,Gi/o,TM5-TM6,0.23,0.105,0.41,3,0.41,0.175,0.105,fraction
Gi_8ID9,Gi,Gi/o,TM6-TM7,0.022,0.0,0.06,3,0.06,0.0,0.005,fraction
Gi_8ID9,Gi,Gi/o,TM7-TM1,0.342,0.145,0.635,3,0.635,0.245,0.145,fraction
Gi_8IHJ,Gi,Gi/o,TM1-TM2,0.008,0.005,0.01,3,0.01,0.005,0.01,fraction
Gi_8IHJ,Gi,Gi/o,TM2-TM3,0.002,0.0,0.005,3,0.0,0.0,0.005,fraction
Gi_8IHJ,Gi,Gi/o,TM3-TM4,0.43,0.38,0.505,3,0.38,0.505,0.405,fraction
Gi_8IHJ,Gi,Gi/o,TM4-TM5,0.225,0.12,0.42,3,0.135,0.12,0.42,fraction
Gi_8IHJ,Gi,Gi/o,TM5-TM6,0.137,0.035,0.34,3,0.34,0.035,0.035,fraction
Gi_8IHJ,Gi,Gi/o,TM6-TM7,0.06,0.045,0.075,3,0.075,0.045,0.06,fraction
Gi_8IHJ,Gi,Gi/o,TM7-TM1,0.452,0.245,0.77,3,0.34,0.245,0.77,fraction
Gi_8IRU,Gi,Gi/o,TM1-TM2,0.035,0.02,0.045,3,0.045,0.02,0.04,fraction
Gi_8IRU,Gi,Gi/o,TM2-TM3,0.052,0.035,0.075,3,0.045,0.035,0.075,fraction
Gi_8IRU,Gi,Gi/o,TM3-TM4,0.238,0.22,0.265,3,0.23,0.265,0.22,fraction
Gi_8IRU,Gi,Gi/o,TM4-TM5,0.033,0.025,0.045,3,0.03,0.045,0.025,fraction
